audiobook_id,categories,rating_overall,rating_performance,rating_story
,Arts & Entertainment,4.9,4.9,4.9
,Literature & Fiction,4.1,3.9,4.2
,"Relationships, Parenting & Personal Development",4.8,4.8,4.8
,"Relationships, Parenting & Personal Development",4.5,4.5,4.4
,Science Fiction & Fantasy,4.8,4.7,4.8
,Teen & Young Adult,4.5,4.6,4.5
,Teen & Young Adult,4.8,4.8,4.9
,Science Fiction & Fantasy,4.7,4.8,4.7
,Science Fiction & Fantasy,4.4,4.9,4.2
,Romance,4.8,4.9,4.8
,Romance,4.8,4.7,4.7
,Health & Wellness,4.4,4.4,4.5
,Health & Wellness,4.7,4.7,4.7
,"Mystery, Thriller & Suspense",4.5,4.6,4.5
,Biographies & Memoirs,4.4,4.6,4.5
,Literature & Fiction,4.3,4.3,4.3
,Health & Wellness,4.8,4.8,4.8
,History,4.9,4.8,4.9
,Business & Careers,4.7,4.8,4.7
,Money & Finance,4.7,4.8,4.7
,Science Fiction & Fantasy,4.8,4.9,4.8
,Science Fiction & Fantasy,4.8,4.9,4.8
,Romance,4.2,4.7,4.1
,History,4.8,4.8,4.8
,"Mystery, Thriller & Suspense",4.8,4.9,4.8
,Literature & Fiction,4.5,4.5,4.5
,Literature & Fiction,4.7,4.8,4.6
,Children\'s Audiobooks,4.4,4.7,4.3
,Literature & Fiction,4.7,4.8,4.7
,Science Fiction & Fantasy,4.7,4.9,4.7
,Biographies & Memoirs,4.6,4.7,4.6
,Science Fiction & Fantasy,4.7,4.9,4.6
,Business & Careers,4.4,4.5,4.3
,"Relationships, Parenting & Personal Development",4.8,4.8,4.7
,Business & Careers,4.8,4.8,4.8
,Romance,4.5,4.6,4.5
,Business & Careers,4.8,4.9,4.8
,Literature & Fiction,4.7,4.8,4.7
,Literature & Fiction,4.6,4.5,4.6
,Children\'s Audiobooks,4.9,4.9,4.9
,Children\'s Audiobooks,4.9,4.9,4.9
,Business & Careers,4.8,4.8,4.8
,Science Fiction & Fantasy,4.6,4.9,4.6
,Children\'s Audiobooks,4.9,4.9,4.9
,Literature & Fiction,4.4,4.5,4.4
,Business & Careers,4.6,4.6,4.6
,"Mystery, Thriller & Suspense",4.5,4.7,4.5
,Arts & Entertainment,4.8,4.7,4.8
,Money & Finance,4.8,4.8,4.8
,Children\'s Audiobooks,5.0,4.9,5.0
,Literature & Fiction,4.7,4.6,4.7
